,Betweenness Centrality,Constraint,Broker Coefficient
government,2.193927558175665e-05,0.0757538693543333,0.9242680699212485
usa,2.7727276784501895e-06,0.07628140499560236,0.9237213677320761
Pictures,8.650530531055216e-06,0.0770973437301956,0.9229113068003354
psychology,6.476028344873387e-06,0.07742494457763906,0.9225815314507059
lists,6.779888912374779e-06,0.07783170730312403,0.9221750725857883
howto,4.823786509084576e-06,0.07791937893882787,0.9220854448476813
history,4.135352410839239e-05,0.07866923192153666,0.9213721216025718
Art,3.823325590586248e-05,0.07921035483385443,0.9208278784220515
USPE08,8.546078460976611e-07,0.07920572151354793,0.9207951330942981
Frugal,2.3951809233297117e-05,0.07935095885340794,0.9206729929558254
